CITATIONKEY|TITLE|AUTHORS|YEAR|DOI|FROMSEARCH|WORKTYPE|PUBLISHED_IN|DATABASES|PREPROCESSINGS|ATTRIBUTES|PREDICTIVE_MODELS|KEYPOINTS|TASKS|RATES|PHILOSOPHY|NOTES
Lei:2016:TWC:2875518.2875660|A Two-Phase Weighted Collaborative Representation for 3D partial face recognition with single sample|Lei, Yinjie and Guo, Yulan and Hayat, Munawar and Bennamoun, Mohammed and Zhou, Xinzhi|2016|10.1016/j.patcog.2015.09.035|scopus, webofscience|periodico|Pattern Recognition|Bosphorus; GavabDB; UMB-DB; SHREC 2008; BU-3DFE; FRGC v2.0|detecção automática da ponta do nariz; crop do nariz; remoção de outliers; correção de pose; subamostragem com voxelgrid; alinhamento par-a-par com ICP recursivo|KMTS|TPWCRC|nosetip; arbitrários|identification; verification|Entre 90.2 e 98.00, Entre 47.40 e 98.9 / Entre 95.08 e 100.00 / 73.08 / Entre 90.71 e 97.13 / 94.00 / 96.30 e Entre 96;00 e 99.90|local|estudo que evoluiu de artigo de conferência
7797090|Towards Large-Scale 3D Face Recognition|Gilani, Syed Zulqarnain and Mian, Ajmal|2016|10.1109/DICTA.2016.7797090|ieeexplore, scopus, webofscience|conferencia|2016 International Conference on Digital Image Computing: Techniques and Applications, DICTA 2016|FRGC v2.0; Bosphorus; BU-3DFE|deteção de landmarks usando CNN; crop do nariz; registro com amostra aleatória|curvaturas|Distância Cosseno|nosetip; left outer eye corner; right outer eye corner|identification; verification|Entre 74.60 e 97.30|holístico|combina dois conjuntos de dados; usa FCDN para detectar landmarks, e não classificação; usa base diferente para treinar a rede; considera ser o primeiro trabalho em 3DFR de larga escala
Emambakhsh2017|Nasal Patches and Curves for Expression-Robust 3D Face Recognition|Emambakhsh, Mehryar and Evans, Adrian|2017|10.1109/TPAMI.2016.2565473|ieeexplore, scopus, webofscience|periodico|IEEE Transactions on Pattern Analysis and Machine Intelligence|FRGC v2.0; Bosphorus; BU-3DFE|crop do nariz; filtro da mediana; triangularização; alinhamento com ICP|coeficientes wavelet; coeficientes de fourier; curvaturas|Distância MahalanobisCosine|nosetip; left inner eye corner; right inner eye corner; nose root; nasion; left nose groove; right nose groove|identification; verification|Vários|local|gera depthimage; faz seleção de atributos usando algoritmo genético
ISI:000412265100009|Pose-invariant 3D face recognition using half face|Liang, Yan and Zhang, Yun and Zeng, Xian Xian|2017|10.1016/j.image.2017.05.004|scopus, webofscience|periodico|Signal Processing: Image Communication|Bosphorus; FRGC v2.0; UND Ear Database|NENHUM|3DWW|Distância euclidiana|left outer eye corner; left inner eye corner; right inner eye corner; right outer eye corner; nasion; nosetip; left mouth corner; right mouth corner|identification|Entre 93.33 e 100.00 / Entre 93.33 e 100.00|holístico|foco em reconhecimento invariante a auto-oclusão; alinhamento com apenas metada da face; usa face média para registro
8227850|2D and 3D face recognition using convolutional neural network|Hu, Huiying and Shah, Syed Afaq Ali and Bennamoun, Mohammed and Molton, Michael|2017|10.1109/TENCON.2017.8227850|ieeexplore, scopus, webofscience|conferencia|IEEE Region 10 Annual International Conference, Proceedings/TENCON|FRGC v2.0|NENHUM|depthimage|CNN|NENHUM|identification|85.15|holístico|usa CNN; aplica em 2D, mas só será analisado a parcela 3D do trabalho; gera depthimage; usa 80% da FRGC para treinamento (limitação das NN); estado da arte até então
ISI:000444905600019|Geometrical and Visual Feature Quantization for 3D Face Recognition|Hariri, Walid and Tabia, Hedi and Farah, Nadir and Declercq, David and Benouareth, Abdallah|2017|10.5220/0006101701870193|scopus, webofscience|conferencia|PROCEEDINGS OF THE 12TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION, IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS (VISIGRAPP 2017), VOL 5|FRGC v2.0|smoothing; crop do nariz; preenchimento de buracos; filtro da mediana|LBP; shape index|Naive Bayes; MLP; Random Forest|NENHUM|identification|97.90|holístico|usa bag of features; faz crop, mas nao diz como (supoe que seja com nosetip, mas nao menciona tambem landmarks); melhor resultado foi com MLP
8075548|Embedded approach for a Riemannian-based framework of analyzing 3D faces|Frikha, Tarek and Chaabane, Faten and Said, Boukhchim and Drira, Hassen and Abid, Mohamed and {Ben Amar}, Chokri and Lille, Lifl|2017|10.1109/ATSIP.2017.8075548|ieeexplore, scopus, webofscience|conferencia|Proceedings - 3rd International Conference on Advanced Technologies for Signal and Image Processing, ATSIP 2017|GavabDB|crop do nariz; registro; interpolação linear; remoção de oclusões|curvas isogeodésicas|Distância euclidiana|nosetip|identification|Entre 70.49 e 100.00|local|faz síntese em FPGA
ISI:000448833400016|Pose and expression invariant alignment based multi-view 3d face recognition|Ratyal, Naeem and Taj, Imtiaz and Bajwa, Usama and Sajid, Muhammad|2018|10.3837/tiis.2018.10.016|scopus, webofscience|periodico|KSII Transactions on Internet and Information Systems|GavabDB; Bosphorus; UMB-DB; FRGV v2.0|alinhamento em duas etapas; remoção de outliers; preenchimento de buracos; crop do nariz|similaridade estatística|SVM; Distância MahalanobisCosine; Random Forest; Decision Tree; AdaBoost; CNN|nosetip|identification; verification|Entre 77.05 e 100.00|holístico|aplica comitê de classificadores para tarefa de identificação; aplica ténica multiview para verificação; usou CNN; problematico
8314888|3D gabor-edge filters applied to face depth images|Torkhani, Ghada and Ladgham, Anis and Sakly, Anis|2018|10.1109/STA.2017.8314888|ieeexplore, webofscience|conferencia|2017 18th International Conference on Sciences and Techniques of Automatic Control and Computer Engineering, STA 2017 - Proceedings|GavabDB|filtro da mediana; interpolação Laplaciana; normalização da face|depthimage filtrada com wavelet Gabor|MLP|NENHUM|identification|Entre 90.00 e 98.36|holístico|gera depthimage; usa o termo authentication como sinônimo de identification
Ahdid201873|Automatic face recognition system using iso-geodesic curves in riemanian manifold|Ahdid, Rachid and Taifi, Khaddouj and Said, Said and Fakir, Mohamed and Manaut, Bouzid|2018|10.1109/CGiV.2017.25|scopus|conferencia|Proceedings - 2017 14th International Conference on Computer Graphics, Imaging and Visualization, CGiV 2017|SHREC2008|triangularização|curvas isogeodésicas|MLP; KNN_euclidean; SVM|nosetip|identification|98.90|local|nosetip selecionado manualmente
ISI:000449193300001|3D Face Recognition based on Local Conformal Parameterization and Iso-Geodesic Stripes Analysis|Lv, Chenlei and Zhao, Junli|2018|10.1155/2018/4707954|scopus, webofscience|periodico|Mathematical Problems in Engineering|Texas3D; Bosphorus|localização de landmarks|C2DWW|Distância euclidiana|nosetip; nasion|identification; verification|91.00, 92.00 / 94.00, 93.00 / 90.00, 91.00|local|faz reflexão de 3D para 2D e trabalha em 2D
8578301|Learning from Millions of 3D Scans for Large-Scale 3D Face Recognition|{Zulqarnain Gilani}, Syed and Mian, Ajmal|2018|10.1109/CVPR.2018.00203|ieeexplore, scopus|conferencia|Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition|Privada; FRGV v2.0; BU-3DFE; Bosphorus; GavabDB; Texas 3D; BU-4DFE; CASIA 3D; UMB-DB; 3D-TEC; ND-2006|crop quadrado; subamostragem|coeficientes da NN|FR3DNet|nosetip|identification|98.74|holístico|"gera depthimage; argumenta que os resultados nas bases existentes já ""saturou"" e recomenda que a área convirja para deep learning e large datasets; gera amostras artificais; FR3DNet é uma CNN tunada para 3DFR; supera todos com quem é comparado"
ISI:000463462600049|An efficient 3D face recognition approach using Frenet feature of iso-geodesic curves|Shi, Biao and Zang, Huaijuan and Zheng, Rongsheng and Zhan, Shu|2019|10.1016/j.jvcir.2019.02.002|scopus, webofscience|periodico|Journal of Visual Communication and Image Representation|CASIA 3D|corte usando máscara média; filtro de média; preenchimento de buracos; normalização da face|atributos Frenet; curvas isogeodésicas|Distância euclidiana|nosetip|identification|Entre 8.00 e 92.00|holístico|usa ponta do nariz canônica para normalização, depois max_z para cálculo das curvas iso-geodésicas
Peter201977|3D face recognition using kernel-based PCA approach|Peter, Marcella and Minoi, Jacey Lynn and Hipiny, Irwandi Hipni Mohamad|2019|10.1007/978-981-13-2622-6_8|scopus|periodico|Lecture Notes in Electrical Engineering|Imperial College London 3D Database|NENHUM|autovetores Kernel PCA|KNN_euclidean|NENHUM|identification|77.29|holístico|contribuição foca no ganho do uso do kernel PCA versus PCA
Dutta2019175|3D face recognition based on volumetric representation of range image|Dutta, Koushik and Bhattacharjee, Debotosh and Nasipuri, Mita and Poddar, Anik|2019|10.1007/978-981-13-3702-4_11|scopus|periodico|Advances in Intelligent Systems and Computing|FRAV3D DB; Bosphorus; GavabDB|filtro de média ponderada|volume de triangularização|KNN_euclidean; SVM|nosetip; left inner eye corner; right inner eye corner; left outer eye corner; right outer eye corner; left mouth corner; right mouth corner|identification|Entre 90.83 e 96.37|local|None
ISI:000457666900036|Nasal similarity measure of 3D faces based on curve shape space|Lv, Chenlei and Wu, Zhongke and Wang, Xingce and Zhou, Mingquan and Toh, Kar Ann|2019|10.1016/j.patcog.2018.12.006|webofscience|periodico|Pattern Recognition|FRGC v2.0; Texas3D; Bosphorus|subamostragem; reconstrução com ball-pivoting|curvas isogeodésicas|Energia de distância|nosetip; nasion|identification; verification; gender classification; ethnicity classification|Vários|local|necessita subamostragem profunda para facilitar cálculo das curvas geodésicas; cada curva possúi uma importância hieráquica
